iter	Passed	Remaining
0	48	48507
1	49	24677
2	50	16698
3	51	12720
4	51	10334
5	52	8742
6	53	7597
7	54	6739
8	55	6088
9	56	5557
10	56	5120
11	57	4760
12	58	4453
13	59	4189
14	60	3962
15	61	3760
16	61	3582
17	62	3427
18	63	3285
19	64	3159
20	65	3045
21	66	2941
22	67	2848
23	67	2761
24	68	2682
25	69	2609
26	70	2541
27	71	2477
28	72	2415
29	73	2360
30	73	2308
31	74	2264
32	75	2220
33	76	2177
34	77	2137
35	78	2097
36	78	2055
37	79	2016
38	80	1979
39	81	1945
40	81	1912
41	82	1879
42	83	1848
43	83	1817
44	84	1787
45	85	1764
46	85	1740
47	86	1713
48	86	1686
49	87	1660
50	87	1634
51	88	1610
52	88	1586
53	89	1564
54	89	1542
55	90	1520
56	90	1500
57	91	1480
58	91	1461
59	92	1442
60	92	1424
61	93	1407
62	93	1391
63	94	1374
64	94	1359
65	94	1344
66	95	1329
67	95	1311
68	96	1296
69	96	1283
70	97	1270
71	97	1257
72	98	1244
73	98	1232
74	98	1220
75	99	1208
76	99	1196
77	100	1185
78	100	1174
79	101	1163
80	101	1153
81	102	1143
82	102	1133
83	103	1124
84	103	1112
85	103	1103
86	104	1092
87	104	1084
88	105	1075
89	105	1067
90	106	1059
91	106	1051
92	106	1043
93	107	1035
94	107	1028
95	108	1020
96	108	1013
97	109	1006
98	109	999
99	110	992
100	110	985
101	110	976
102	111	970
103	111	964
104	112	957
105	112	951
106	113	945
107	113	939
108	114	933
109	114	928
110	115	922
111	115	916
112	116	910
113	116	905
114	116	900
115	117	894
116	117	888
117	118	883
118	118	878
119	119	873
120	119	868
121	119	863
122	120	857
123	120	852
124	121	847
125	121	843
126	122	838
127	122	833
128	122	829
129	123	825
130	123	821
131	124	817
132	124	812
133	125	808
134	125	804
135	126	800
136	126	797
137	126	792
138	127	789
139	127	785
140	128	781
141	128	778
142	129	774
143	129	770
144	130	767
145	130	764
146	131	760
147	131	757
148	132	754
149	132	750
150	132	747
151	133	744
152	133	741
153	134	737
154	134	734
155	135	731
156	135	728
157	136	725
158	136	722
159	137	719
160	137	716
161	137	713
162	138	710
163	138	708
164	139	705
165	139	702
166	140	699
167	140	697
168	141	694
169	141	691
170	142	689
171	142	686
172	143	683
173	143	681
174	144	678
175	144	676
176	144	674
177	145	671
178	145	669
179	146	666
180	146	663
181	147	661
182	147	658
183	148	656
184	148	654
185	148	651
186	149	649
187	149	647
188	150	644
189	150	642
190	151	640
191	151	638
192	152	636
193	152	633
194	153	631
195	153	629
196	153	627
197	154	625
198	154	623
199	155	621
200	155	619
201	156	617
202	156	615
203	157	613
204	157	611
205	158	609
206	158	607
207	158	605
208	159	603
209	159	601
210	160	599
211	160	597
212	161	596
213	161	594
214	162	592
215	162	590
216	163	588
217	163	586
218	164	585
219	164	583
220	165	581
221	165	579
222	165	578
223	166	576
224	166	574
225	167	573
226	167	571
227	168	569
228	168	568
229	169	566
230	169	565
231	170	563
232	170	562
233	171	560
234	171	558
235	172	557
236	172	555
237	173	554
238	173	552
239	174	551
240	174	549
241	174	548
242	175	546
243	175	545
244	176	543
245	176	542
246	177	540
247	177	539
248	178	537
249	178	536
250	179	535
251	179	533
252	180	532
253	180	530
254	181	529
255	181	527
256	182	526
257	182	524
258	182	523
259	183	522
260	183	520
261	184	519
262	184	517
263	185	516
264	185	515
265	186	513
266	186	512
267	187	511
268	187	509
269	188	508
270	188	507
271	188	505
272	189	504
273	189	503
274	190	502
275	190	500
276	191	499
277	191	498
278	192	497
279	192	495
280	193	494
281	193	493
282	194	491
283	194	490
284	195	489
285	195	488
286	195	486
287	196	485
288	196	484
289	197	483
290	197	481
291	198	480
292	198	479
293	199	478
294	199	477
295	200	475
296	200	474
297	201	473
298	201	472
299	201	471
300	202	469
301	203	469
302	203	468
303	204	467
304	204	465
305	204	464
306	205	463
307	205	462
308	206	461
309	206	460
310	207	459
311	207	458
312	208	456
313	208	455
314	209	454
315	209	453
316	210	452
317	210	451
318	210	450
319	211	449
320	211	448
321	212	446
322	212	445
323	213	444
324	213	443
325	214	442
326	214	441
327	215	440
328	215	439
329	216	438
330	216	437
331	216	436
332	217	435
333	217	434
334	218	433
335	218	432
336	219	431
337	219	430
338	220	429
339	220	428
340	221	427
341	221	426
342	222	425
343	222	424
344	222	423
345	223	422
346	223	421
347	224	420
348	224	419
349	225	418
350	225	417
351	226	416
352	226	415
353	227	414
354	227	413
355	227	412
356	228	411
357	228	410
358	229	409
359	229	408
360	230	407
361	230	406
362	231	405
363	231	404
364	232	403
365	232	402
366	232	401
367	233	400
368	233	399
369	234	398
370	234	398
371	235	397
372	235	396
373	236	395
374	236	394
375	237	393
376	237	392
377	238	391
378	238	390
379	239	389
380	239	389
381	239	388
382	240	387
383	240	386
384	241	385
385	241	384
386	242	383
387	242	382
388	243	382
389	243	381
390	244	380
391	244	379
392	245	378
393	245	378
394	246	377
395	246	376
396	247	375
397	247	374
398	248	373
399	248	372
400	249	372
401	249	371
402	250	370
403	250	369
404	251	368
405	251	367
406	251	367
407	252	366
408	252	365
409	253	364
410	253	363
411	254	362
412	254	362
413	255	361
414	255	360
415	256	359
416	256	358
417	256	357
418	257	356
419	257	356
420	258	355
421	258	354
422	259	353
423	259	352
424	260	352
425	260	351
426	261	350
427	261	349
428	262	348
429	262	348
430	263	347
431	263	346
432	263	345
433	264	344
434	264	344
435	265	343
436	265	342
437	266	341
438	266	340
439	267	340
440	267	339
441	268	338
442	268	337
443	269	336
444	269	336
445	270	335
446	270	334
447	270	333
448	271	333
449	271	332
450	272	331
451	272	330
452	273	329
453	273	329
454	274	328
455	274	327
456	275	326
457	275	325
458	275	325
459	276	324
460	276	323
461	277	322
462	277	322
463	278	321
464	278	320
465	279	319
466	279	319
467	280	318
468	280	317
469	281	316
470	281	316
471	281	315
472	282	314
473	282	313
474	283	313
475	283	312
476	284	311
477	284	310
478	285	310
479	285	309
480	286	308
481	286	307
482	286	307
483	287	306
484	287	305
485	288	304
486	288	304
487	289	303
488	289	302
489	290	302
490	290	301
491	291	300
492	291	299
493	292	299
494	292	298
495	293	297
496	293	297
497	294	296
498	294	295
499	295	295
500	295	294
501	296	293
502	296	292
503	296	292
504	297	291
505	297	290
506	298	290
507	298	289
508	299	288
509	300	288
510	300	287
511	301	287
512	301	286
513	302	285
514	302	285
515	303	284
516	303	283
517	304	283
518	304	282
519	305	281
520	305	281
521	306	280
522	306	279
523	307	278
524	307	278
525	308	277
526	308	276
527	308	276
528	309	275
529	309	274
530	310	274
531	310	273
532	311	272
533	311	272
534	312	271
535	312	270
536	313	270
537	313	269
538	314	268
539	314	267
540	314	267
541	315	266
542	315	265
543	316	265
544	316	264
545	317	263
546	317	263
547	318	262
548	318	261
549	319	261
550	319	260
551	320	259
552	320	259
553	321	258
554	321	258
555	322	257
556	322	256
557	323	256
558	323	255
559	324	254
560	324	254
561	325	253
562	325	252
563	326	252
564	326	251
565	327	250
566	327	250
567	328	249
568	328	248
569	328	248
570	329	247
571	329	246
572	330	246
573	330	245
574	331	244
575	331	244
576	332	243
577	332	242
578	333	242
579	333	241
580	334	240
581	334	240
582	334	239
583	335	238
584	335	238
585	336	237
